Sample ID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
ME019T1,Monocytes,NA,LeanT1,NA,1,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME019T1.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME019T1.filtered.peaks/ME019T1.filtered_summits400.bed,bed
ME015T1,Monocytes,NA,LeanT1,NA,2,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME015T1.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME015T1.filtered.peaks/ME015T1.filtered_summits400.bed,bed
ME004T1,Monocytes,NA,LeanT1,NA,3,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME004T1.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME004T1.filtered.peaks/ME004T1.filtered_summits400.bed,bed
ME074T1,Monocytes,NA,LeanT1,NA,4,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME074T1.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME074T1.filtered.peaks/ME074T1.filtered_summits400.bed,bed
ME019T3,Monocytes,NA,LeanT3,NA,1,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME019T3.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME019T3.filtered.peaks/ME019T3.filtered_summits400.bed,bed
ME015T3,Monocytes,NA,LeanT3,NA,2,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME015T3.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME015T3.filtered.peaks/ME015T3.filtered_summits400.bed,bed
ME004T3,Monocytes,NA,LeanT3,NA,3,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME004T3.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME004T3.filtered.peaks/ME004T3.filtered_summits400.bed,bed
ME074T3,Monocytes,NA,LeanT3,NA,4,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME074T3.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME074T3.filtered.peaks/ME074T3.filtered_summits400.bed,bed
ME096T1,Monocytes,NA,ObeseT1,NA,1,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME096T1.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME096T1.filtered.peaks/ME096T1.filtered_summits400.bed,bed
ME097T1,Monocytes,NA,ObeseT1,NA,2,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME097T1.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME097T1.filtered.peaks/ME097T1.filtered_summits400.bed,bed
ME073T1,Monocytes,NA,ObeseT1,NA,3,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME073T1.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME073T1.filtered.peaks/ME073T1.filtered_summits400.bed,bed
ME078T1,Monocytes,NA,ObeseT1,NA,4,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME078T1.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME078T1.filtered.peaks/ME078T1.filtered_summits400.bed,bed
ME096T3,Monocytes,NA,ObeseT3,NA,1,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME096T3.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME096T3.filtered.peaks/ME096T3.filtered_summits400.bed,bed
ME097T3,Monocytes,NA,ObeseT3,NA,2,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME097T3.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME097T3.filtered.peaks/ME097T3.filtered_summits400.bed,bed
ME073T3,Monocytes,NA,ObeseT3,NA,3,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME073T3.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME073T3.filtered.peaks/ME073T3.filtered_summits400.bed,bed
ME078T3,Monocytes,NA,ObeseT3,NA,4,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/filtered_rmdup_bams/ME078T3.filtered.rmdup.shift.bam,NA,NA,/bigdata/messaoudilab/ssure003/Projects/Maob_Mom_CD14_ATAC/paper-jan2019/peaks_filtered/macs2/ME078T3.filtered.peaks/ME078T3.filtered_summits400.bed,bed
